2020-08-14T00:00:00L02108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分,Table 2. Average Family Income and Expenditure per Household by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
消費支出,771019.05045,1006873.6963,639221.34008,628478.64752,606254.2535,602116.22463,586852.51587,Consumption expenditures
儲蓄,150380.14368,217710.8184,260865.81881,234764.23351,187796.27869,195537.37828,147974.04042,Saving
所得總額,1129513.2315,1638923.8907,1118245.1222,1063532.1112,977336.50947,962508.33242,875083.18837,Current receipts
樣本戶數,347,350,320,573,300,388,323,Numbers of samples
可支配所得標準差,71297,134838,88216,60799,76518,61618,67513,Disposable income standard deviation
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續完),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.End),,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,County,County,County,County,City,City,City,
,,,,,,,,
三、消費支出,632721.20978,525789.55837,603635.87527,589134.6996,779554.849,1018974.9776,753030.36606,C.Consumption expenditures
1.食品及非酒精飲料,97435.56967,70522.506725,92649.616093,113422.09442,119747.92364,146704.07253,109877.66364,1.Food and non-alcoholic beverages
