COUNTY_ID,COUNTY,TOWN_ID,TOWN,NIGHT_WORK,DAY_WORK(0700~1300),DAY_WORK(1300~1900),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(0700~1300),DAY_WEEKEND(1300~1900),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日夜間停留人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
67000,臺南市,67000350,安南區,178243,166346,164956,165353,179446,172596,167939,171399,514786,442816,459387,656432,422332,484235,482592,599786,"112Y11M"
67000,臺南市,67000360,安平區,65901,61497,60756,60944,67564,66468,65188,65586,178167,197613,204496,276338,159618,247360,263991,306709,"112Y11M"
67000,臺南市,67000370,中西區,72227,85829,92753,89068,76038,81831,98274,86980,242181,345888,356140,480234,209915,437170,475361,590662,"112Y11M"
64000,高雄市,64000010,鹽埕區,22822,22363,21980,21987,23713,23908,24946,23815,58016,74580,76574,103654,55256,98958,119362,146376,"112Y11M"
64000,高雄市,64000020,鼓山區,131619,123062,123918,123448,131971,131315,132699,131923,327727,343612,373022,518784,285973,415792,452318,535060,"112Y11M"
64000,高雄市,64000030,左營區,190655,187982,193895,190720,190762,191809,205836,197044,586251,598272,646105,941034,478045,707332,740936,971718,"112Y11M"
64000,高雄市,64000040,楠梓區,191517,182093,179919,180512,190612,185474,178693,183211,554037,500532,514373,786079,455263,521922,520753,719206,"112Y11M"
64000,高雄市,64000050,三民區,314258,293417,287092,289816,313008,308719,295117,303081,870391,873339,910457,1316784,727853,950668,931857,1225961,"112Y11M"
64000,高雄市,64000060,新興區,54118,63717,66173,64662,55991,55968,58521,56290,177427,227016,234971,326979,140858,226439,236960,334226,"112Y11M"
64000,高雄市,64000070,前金區,33812,44999,46322,45815,35026,37930,41078,38969,110876,147531,150677,197536,87594,144618,153225,209674,"112Y11M"
64000,高雄市,64000080,苓雅區,151127,160684,161242,160567,151581,152336,150006,150932,451099,503484,526094,713510,364788,514489,526279,682834,"112Y11M"
64000,高雄市,64000090,前鎮區,168151,180678,186204,183382,169167,174703,191763,180582,501356,495638,529052,727702,400749,546646,587744,715925,"112Y11M"
64000,高雄市,64000100,旗津區,15886,15491,15766,15525,16008,15811,16463,15954,42171,49364,52861,50518,37245,55331,65655,59228,"112Y11M"
64000,高雄市,64000110,小港區,137129,151737,149964,152102,134392,138369,134107,138138,433701,382493,420833,486446,318750,338803,349196,414608,"112Y11M"
