,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按縣市別分,,,,,,,,,By County/City
,大專及以上,1224546,917989,238588,679401,,306557,50688,255869,Junior College and Higher
,按主要家計負責人之性別及工作狀況分,,,,,,,,,By Sex and Working Statusof Main Family Living Supporter
,總計,7910384,6237010,1449047,4787963,,1673374,248938,1424436,Grand Total
,有工作,5741235,4495094,1011670,3483424,,1246141,186772,1059369,Holding a Job
,農業,310592,267225,54988,212237,,43367,7709,35658,Agriculture
,工業,2144344,1731866,358641,1373225,,412478,57165,355313,Industry
,服務業,3286299,2496003,598041,1897962,,790296,121898,668398,Services
,無工作,2169149,1741916,437377,1304539,,427233,62166,365067,Not Holding a Job
,男,5207868,4233390,989778,3243612,,974478,154540,819938,Male
,有工作,4030674,3255678,735897,2519781,,774996,124357,650639,Holding a Job
,農業,256710,224483,46600,177883,,32227,6019,26208,Agriculture
,工業,1743300,1431146,296942,1134204,,312154,44982,267172,Industry
,服務業,2030664,1600049,392355,1207694,,430615,73356,357259,Services
,無工作,1177194,977712,253881,723831,,199482,30183,169299,Not Holding a Job
,女,2702516,2003620,459269,1544351,,698896,94398,604498,Female
,有工作,1710561,1239416,275773,963643,,471145,62415,408730,Holding a Job
,農業,53882,42742,8388,34354,,11140,1690,9450,Agriculture
,工業,401044,300720,61699,239021,,100324,12183,88141,Industry
,服務業,1255635,895954,205686,690268,,359681,48542,311139,Services
,無工作,991955,764204,183496,580708,,227751,31983,195768,Not Holding a Job
,註：1.本表僅統計居住於住宅內之普通住戶。2.本表資料不含無親屬關係所組成之其他家戶，因該類家戶無主要家計負責人。,,"Note：1.This table only includes ordinary households living in the housing unit.   2.This table does not include other household composed of nonrelatives, because the main family living supporter was not interviewedin the household.",,,,,,,
